Year,Species,SSB,Bmsy,SSB.Bmsy,Blim,Spp_year
2010,Kingcrab,NA,NA,1,NA,Kingcrab_2010
2011,Kingcrab,NA,NA,1,NA,Kingcrab_2011
2012,Kingcrab,NA,NA,1,NA,Kingcrab_2012
2013,Kingcrab,NA,NA,1,NA,Kingcrab_2013
2014,Kingcrab,NA,NA,1,NA,Kingcrab_2014
2015,Kingcrab,NA,NA,1,NA,Kingcrab_2015
2016,Kingcrab,NA,NA,1,NA,Kingcrab_2016
2017,Kingcrab,NA,NA,1,NA,Kingcrab_2017
2018,Capelin,462e3,427e3,1.0819672131147542,2e5,Capelin_2018
2018,Cod,1504567,46e4,3.2707978260869566,22e4,Cod_2018
2018,Haddock,401586,8e4,5.019825,5e4,Haddock_2018
2018,Herring,3691e3,3184e3,1.1592336683417086,25e5,Herring_2018
2018,Kingcrab,NA,NA,1,NA,Kingcrab_2018
2018,Saithe,454042,22e4,2.0638272727272726,136e3,Saithe_2018
